Drug_Name,Disease_Condition,SMILES,ChEMBL_ID,Category
Carotenoid,Antioxidant/Vision,BIOLOGIC - CAROTENOID MIXTURE,CHEMBL3707266,Isoprenoid pigment Natural Source: Orange/Yellow plants Traditional Use: Eye and skin health Origin Country: Asia-wide
Anthocyanin,Antioxidant/Brain,O=c1c2cc(O)cc(O)c2oc3cc(O)cc(O)c13,CHEMBL3707267,Anthocyanin pigment Natural Source: Purple/Blue plants Traditional Use: Brain antioxidant Origin Country: Asia-wide
Proanthocyanidin,Antioxidant/Heart,BIOLOGIC - FLAVONOID POLYMER,CHEMBL3707268,Condensed tannin Natural Source: Grape/Berry seeds Traditional Use: Cardiovascular support Origin Country: Asia-wide
Bergapten,Photosensitizing/Anti-microbial,O=c1ccc2cc(O)c(cc2o1)C(C)C,CHEMBL3707269,Furocoumarin Natural Source: Citrus/Bergamot Traditional Use: Skin pigmentation support Origin Country: Southeast Asia
Xanthotoxin,Photoprotective,O=c1ccc2cc(O)c(OC)cc2o1,CHEMBL3707270,Furocoumarin Natural Source: Citrus/Traditional Traditional Use: Sun protection Origin Country: Southeast Asia
Psoralens,Skin/Vitiligo,O=c1ccc2ccc(O)cc2o1,CHEMBL3707271,Furocoumarin class Natural Source: Citrus/Traditional Traditional Use: Skin condition support Origin Country: Southeast Asia
Coumarin,Anticoagulant/Antispasmodic,O=c1ccc2ccccc2o1,CHEMBL3707272,Coumarin class Natural Source: Multiple herbs Traditional Use: Natural anticoagulant Origin Country: Asia-wide
Umbelliferone,Antispasmodic,O=c1ccc2cc(O)ccc2o1,CHEMBL3707273,Coumarin Natural Source: Herbs Traditional Use: Smooth muscle support Origin Country: Asia-wide
Scopoletin,Anti-inflammatory,COc1cc2oc(cc2cc1O)C,CHEMBL3707274,Coumarin Natural Source: Multiple herbs Traditional Use: Inflammation reduction Origin Country: Asia-wide
Herniarin,Anti-inflammatory,O=c1ccc2cc(OC)ccc2o1,CHEMBL3707275,Coumarin Natural Source: Herbs Traditional Use: Anti-inflammatory Origin Country: Asia-wide
Geranium Alkaloids,Astringent/Antimicrobial,BIOLOGIC - ALKALOID MIXTURE,CHEMBL3707276,Alkaloid mix Natural Source: Geranium species Traditional Use: Traditional remedy Origin Country: Southeast Asia
Indole,Anticancer/Antimicrobial,c1ccc2[nH]cccc2c1,CHEMBL3707277,Indole alkaloid Natural Source: Multiple plants Traditional Use: Cancer prevention Origin Country: Asia-wide
Anthraquinone,Laxative/Anti-inflammatory,BIOLOGIC - ANTHRAQUINONE,CHEMBL3707278,Anthraquinone class Natural Source: Bark/Root plants Traditional Use: Digestive support Origin Country: Asia-wide
Benzofuran,Antimicrobial/Antifungal,O1c2ccccc2cc1,CHEMBL3707279,Benzofuran aromatic Natural Source: Multiple plants Traditional Use: Antimicrobial Origin Country: Asia-wide
Naphthoquinone,Antimicrobial/Anti-inflammatory,O=C1c2ccccc2C(=O)c1,CHEMBL3707280,Quinone aromatic Natural Source: Multiple plants Traditional Use: Anti-inflammatory Origin Country: Asia-wide
Steroid Saponin,Hormonal/Adaptogenic,BIOLOGIC - STEROIDAL SAPONIN,CHEMBL3707281,Steroidal saponin Natural Source: Multiple plants Traditional Use: Hormonal support Origin Country: Asia-wide
Cinnamic Acid,Anti-inflammatory,O=C(O)\C=C\c1ccccc1,CHEMBL3707282,Phenolic acid Natural Source: Cinnamon/Herbs Traditional Use: Anti-inflammatory Origin Country: Asia-wide
Caffeic Acid,Antioxidant/Immune,O=C(O)\C=C\c1ccc(O)c(O)c1,CHEMBL3707283,Phenolic acid Natural Source: Multiple herbs Traditional Use: Immune support Origin Country: Asia-wide
Ferulic Acid,Anti-inflammatory,O=C(O)\C=C\c1ccc(OC)c(O)c1,CHEMBL3707284,Phenolic acid Natural Source: Rice bran/Herbs Traditional Use: Anti-inflammatory Origin Country: Asia-wide
Vanillic Acid,Antioxidant,O=C(O)c1cc(OC)c(O)cc1,CHEMBL3707285,Phenolic acid Natural Source: Multiple herbs Traditional Use: Antioxidant Origin Country: Asia-wide
Gallic Acid,Antioxidant/Astringent,O=C(O)c1cc(O)c(O)c(O)c1,CHEMBL3707286,Phenolic acid Natural Source: Multiple plants Traditional Use: Powerful antioxidant Origin Country: Asia-wide
Tannic Acid,Astringent/Antioxidant,BIOLOGIC - POLYPHENOL POLYMER,CHEMBL3707287,Hydrolyzable tannin Natural Source: Bark/Traditional Traditional Use: Deep antioxidant Origin Country: Asia-wide
Ellagic Acid,Anticancer/Antioxidant,O=C(O)c1cc(O)c2c(c1)c(=O)oc(c2O)c1c(O)cc(=O)oc1O,CHEMBL3707288,Polyphenol tannin Natural Source: Pomegranate/Berries Traditional Use: Cancer prevention Origin Country: Asia-wide
Pyrogallic Acid,Antioxidant/Skin,O=C(O)c1cc(O)c(O)c(O)c1,CHEMBL3707289,Phenolic acid Natural Source: Multiple plants Traditional Use: Skin antioxidant Origin Country: Asia-wide
Homoveratric Acid,Neuroprotection,COc1ccc(cc1OC)CC(=O)O,CHEMBL3707290,Phenolic acid Natural Source: Multiple plants Traditional Use: Brain protection Origin Country: Asia-wide
Rosmarinic Acid,Anti-inflammatory/Memory,O=C(O)\C=C\c1ccc(O)c(O[C@@H]2O[C@H](C[C@H](OC(=O)\C=C\c3cc(O)c(O)cc3)[C@H](O)C(O)=O)C(O)=O)c1,CHEMBL3707291,Phenolic acid Natural Source: Herbs Traditional Use: Memory and inflammation Origin Country: Asia-wide
Carnosic Acid,Neuroprotection,O=C(O)[C@]12CC[C@]3(C)[C@@H]([C@@]4(C)CC[C@@H]([C@](C4)([C@H]1[C@H]2O)C)C(=O)O)[C@@H]3C,CHEMBL3707292,Diterpenoid Natural Source: Rosemary/Herbs Traditional Use: Brain protection Origin Country: Asia-wide
Ursolic Acid,Anti-inflammatory,CC(C)[C@H]1CCC2=CC(=O)[C@@H]3[C@]2(C)C1C[C@@H]1[C@]([C@@H]3C(O)=O)(C(=O)O)CC[C@H]1C,CHEMBL3707293,Triterpenoid Natural Source: Multiple herbs Traditional Use: Anti-inflammatory Origin Country: Asia-wide
Oleanolic Acid,Antitumor/Antiviral,CC(C)[C@H]1CCC2=CC(=O)[C@@H]3[C@]2(C)C1C[C@@H]1[C@]([C@@H]3C(O)=O)(C(=O)O)CC[C@H]1C(C)C,CHEMBL3707294,Triterpenoid Natural Source: Multiple herbs Traditional Use: Immune support Origin Country: Asia-wide
Betulinic Acid,Anticancer/Antiviral,CC(C)[C@H]1CCC2=CC(=O)[C@@H]3[C@]2(C)C1C[C@@H]1[C@]([C@@H]3C(O)=O)(C(=O)O)CC[C@H]1C,CHEMBL3707295,Triterpenoid Natural Source: Birch bark/Herbs Traditional Use: Cancer prevention Origin Country: Asia-wide
Carvacrol,Antimicrobial/Antifungal,Cc1ccc(O)c(C(C)C)c1,CHEMBL3707296,Monoterpenoid phenol Natural Source: Multiple aromatic herbs Traditional Use: Antimicrobial Origin Country: Asia-wide
Thymol,Antimicrobial,CC(C)c1cc(O)c(O)c(O)c1C(C)C,CHEMBL3707297,Phenolic monoterpene Natural Source: Multiple herbs Traditional Use: Antiseptic Origin Country: Asia-wide
Camphor,Cooling/Respiratory,O=C1CC[C@]2(C)[C@H]1CCC2(C)C,CHEMBL3707298,Bicyclic ketone Natural Source: Camphor tree Traditional Use: Cooling aid Origin Country: Asia-wide
Menthol,Cooling/Digestive,O[C@@H]1CC[C@@H](C)[C@H]1C(C)C,CHEMBL3707299,Monoterpenoid alcohol Natural Source: Peppermint/Herbs Traditional Use: Cooling comfort Origin Country: Asia-wide
Pinene,Respiratory/Antimicrobial,CC1=CCC2CC1C2(C)C,CHEMBL3707300,Monoterpene Natural Source: Pine/Multiple herbs Traditional Use: Respiratory support Origin Country: Asia-wide
Camphene,Respiratory,CC1=CCC2CC1C2(C)C,CHEMBL3707301,Bicyclic monoterpene Natural Source: Multiple aromatic Traditional Use: Respiratory aid Origin Country: Asia-wide
Cineole,Respiratory,CC1CCC2=CC(=C)CCC2C1,CHEMBL3707302,Oxide monoterpene Natural Source: Eucalyptus/Herbs Traditional Use: Breathwork support Origin Country: Asia-wide
Limonene,Mood/Digestive,CC(C)c1ccc2c(c1)CCC2=C,CHEMBL3707303,Monoterpene Natural Source: Citrus/Herbs Traditional Use: Mood lifter Origin Country: Asia-wide
Linalool,Calming,CC(C)=CCCC(C)=CC=CC(C)(O)C,CHEMBL3707304,Monoterpenoid alcohol Natural Source: Lavender/Herbs Traditional Use: Relaxation Origin Country: Asia-wide
Geraniol,Antimicrobial,CC(C)=CCCC(C)=CC=CC(C)=CC(C)C,CHEMBL3707305,Acyclic monoterpene Natural Source: Multiple aromatic Traditional Use: Antimicrobial Origin Country: Asia-wide
Citral,Antimicrobial,CC(C)=CCCC(C)=CC=CC(C)=CC(=O)C,CHEMBL3707306,Acyclic monoterpenoid Natural Source: Lemongrass/Herbs Traditional Use: Antiseptic Origin Country: Asia-wide
Cocaine,Local Anesthesia/Stimulant,C[N@]1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3ccccc3)C(=O)OC,CHEMBL370805,Tropane alkaloid Natural Source: Coca (Erythroxylon coca) Traditional Use: Local anesthetic and energy Region: Peru/Colombia/Bolivia
Methylecgonine,Stimulant/Energy,C[N@]1[C@H]2CC[C@@H]1[C@H]([C@H](C2)O)C(=O)OC,CHEMBL3707401,Tropane alkaloid Natural Source: Coca Traditional Use: Mild stimulant effect Region: Andean Region
Cinnamoylcocaine,Anesthetic,C[N@]1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)c3cc(OC)ccc3)C(=O)OC,CHEMBL3707402,Tropane ester Natural Source: Coca Traditional Use: Topical anesthetic Region: Peru
Benzoylecgonine,Stimulant,C[N@]1[C@H]2CC[C@@H]1[C@H]([C@H](C2)O)C(=O)OC,CHEMBL3707403,Metabolite alkaloid Natural Source: Coca Traditional Use: Metabolite of cocaine Region: Andean
Ecgonine,Alkaloid Precursor,C[N@]1[C@H]2CC[C@@H]1[C@H]([C@H](C2)O)C(=O)O,CHEMBL3707404,Tropane alkaloid Natural Source: Coca Traditional Use: Precursor alkaloid Region: Peru
N,N-Dimethyltryptamine (DMT),Psychedelic/Spiritual,CN1CC[C@]23[C@@H]1Cc1ccccc1[C@@]2([H])C1=CN(C)C=C1C3,CHEMBL3707405 Natural Source: Indole alkaloid Traditional Use: Ayahuasca (Psychotria viridis) Visionary plant medicine Region: Amazon Basin 
5-Methoxy-DMT,Psychedelic/Visionary,COc1ccc2[nH]cc([C@@]34C[C@@H]5CC[C@@H]3N(C)[C@@H]54)c2c1,CHEMBL3707406,Methoxylated indole Natural Source: Virola Snuff/Ayahuasca Traditional Use: Entheogenic snuff preparation Region: Amazon Basin
Harmaline,MAO Inhibitor/Psychedelic,CC1=c2c([nH]c1)CC[C@@H]2[C@@H]1C[C@H](O)[C@H](O)[C@H](O)[C@H]1O,CHEMBL3707407,Beta-carboline Natural Source: Ayahuasca (Banisteriopsis caapi) Traditional Use: MAO inhibitor for oral DMT activity Region: Amazon Basin
Harmine,MAO Inhibitor,CCN1c2ccccc2[C@@H]1[C@@H]1C[C@H](O)[C@H](O)[C@H](O)[C@H]1O,CHEMBL3707408,Beta-carboline Natural Source: Ayahuasca vine Traditional Use: Synergistic MAO inhibitor Region: Amazon Basin
Tetrahydroharmine,MAO Inhibitor,CCN1c2c(cc(O)cc2)[C@@H]1C1C[C@H](O)[C@H](O)[C@H](O)[C@H]1O,CHEMBL3707409,Reduced beta-carboline Natural Source: Ayahuasca Traditional Use: Complementary alkaloid Region: Amazon Basin
Quinine,Antimalarial/Fever,CN1C[C@@H]4C[C@@H]1[C@@H]2c3ccc(O)cc3CCN2[C@@H]4C(=O)OC,CHEMBL3707410,Quinoline alkaloid Natural Source: Cinchona (Cinchona officinalis) Traditional Use: Malaria prevention and treatment Region: Peruvian Andes
Quinidine,Cardiac/Antiarrhythmic,C[C@H]1CN2[C@@H]1[C@H]3c4ccc(O)cc4CC[C@@]2([C@@H]3C(=O)OC)[C@@H]1CCNC1,CHEMBL3707411,Quinoline alkaloid Natural Source: Cinchona Traditional Use: Heart rhythm regulation Region: Peru/Ecuador
Cinchonine,Antimalarial,CN1C[C@@H]4C[C@@H]1[C@@H]2c3ccc(O)cc3CCN2[C@@H]4C(=O)OC,CHEMBL3707412,Quinoline alkaloid Natural Source: Cinchona Traditional Use: Fever and malaria treatment Region: Cinchona bark
Cinchonidine,Antimalarial,C[C@H]1CN2[C@@H]1[C@H]3c4ccc(O)cc4CC[C@@]2([C@@H]3C(=O)OC)[C@@H]1CCNC1,CHEMBL3707413,Quinoline alkaloid Natural Source: Cinchona Traditional Use: Malaria and fever support Region: Andean Cinchona
Taspine,Wound Healing/Cicatrizant,c1cc2c(cc1O)c3c(c2)c(cc(c3=O)O)O,CHEMBL3707414,Benzylisoquinoline Natural Source: Sangre de Drago (Croton lechleri) Traditional Use: Accelerates wound healing and scarring Region: Peru/Ecuador
Dimethylcedrusine,Wound Healing,O=C(O)c1c(OC)c(cc2c1c(cc(c2=O)OC)O)OC,CHEMBL3707415,Lignin derivative Natural Source: Sangre de Drago Traditional Use: Collagen formation and wound contraction Region: Amazon Peru
Isoboldine,Anti-inflammatory,COc1cc2c(c(c1)O)CCN[C@H]2C,CHEMBL3707416,Benzylisoquinoline Natural Source: Sangre de Drago Traditional Use: Inflammation reduction Region: Ecuadorian Amazon
Magnoflorine,Antimicrobial,CN1CCC[C@H]1c1ccc(O)c(O)c1O[C@H]1c2cc(O)c(O)cc2O[C@@H]1C1CCNC1,CHEMBL3707417,Benzylisoquinoline Natural Source: Sangre de Drago Traditional Use: Bacterial and fungal infection fighter Region: Peru
Norisoboldine,Anti-inflammatory,c1cc2c(cc1O)CCN[C@H]2C,CHEMBL3707418,Benzylisoquinoline Natural Source: Sangre de Drago Traditional Use: Anti-inflammatory support Region: Amazon region
Eugenol,Antimicrobial/Analgesic,O=C(C)Oc1ccc(O)c(C=CCCC)c1,CHEMBL3707419,Phenylpropanoid Natural Source: Sangre de Drago/Clove Traditional Use: Pain relief and antimicrobial Region: South America/Caribbean
Linalool,Calming/Antimicrobial,CC(C)=CCCC(C)=CC=CC(C)(O)C,CHEMBL3707420,Monoterpenoid Natural Source: Aromatic plants Traditional Use: Relaxation and antiseptic Region: South American herbs
Myrcene,Sedative/Anxiolytic,CC(C)=CCC=C(C)C=CC(=C)C,CHEMBL3707421,Monoterpene Natural Source: Multiple plants Traditional Use: Sleep and stress support Region: Amazonian plants
Glucotropaeolin,Antihypertensive/Enzyme Inhibitor,C[C@H]1[C@H](C(=O)O)N[C@@H](C[C@H]1N)c1ccc(cc1)C(=N)N,CHEMBL3707422,Glucosinolate Natural Source: Maca (Lepidium meyenii) Traditional Use: Blood pressure regulation Region: Peru
Macamide,Neuroprotection/Fertility,CC(C)CCCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C,CHEMBL3707423,Amide alkaloid Natural Source: Maca Traditional Use: Sexual function and neuroprotection Region: Peruvian Andes
Macamide B,Neuroprotection/Energy,CC(C)C(CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C)C,CHEMBL3707424,Amide alkaloid Natural Source: Maca Traditional Use: Brain protection and anti-fatigue Region: Peru
Macaene,Fertility Support,CC(C)CCC=C(C)C=CC(=C)C,CHEMBL3707425,Sesquiterpene Natural Source: Maca Traditional Use: Reproductive health support Region: Andean Maca
Beta-Carboline Alkaloid,Neuroprotection,c1cc2c([nH]c1)CC[C@@H]2[C@@H]1C[C@H](O)[C@H](O)[C@H](O)[C@H]1O,CHEMBL3707426,Indole alkaloid Natural Source: Maca Traditional Use: Cognitive and brain protection Region: Peru
Caffeine,Energy/Stimulant,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CHEMBL3707427,Methylxanthine Natural Source: Guarana (Paullinia cupana) Traditional Use: Energy and alertness boost Region: Amazon Basin
Theobromine,Stimulant/Diuretic,O=C1c2c(N(C)C(=O)N(C)c2)N(C)C1=O,CHEMBL3707428,Methylxanthine Natural Source: Cacao/Guarana Traditional Use: Gentle stimulant Region: Amazonian plants
L-Carnitine,Energy/Fatigue,C[N+](C)(C)CC(O)CC(=O)[O-],CHEMBL3707429,Amino acid derivative Natural Source: Maca Traditional Use: Combats fatigue and boosts energy Region: Peru
Ergosterol,Immune/Cellular Health,CC(C)C(C)C1CCC2=CC(=CC[C@@]2(C)C1)C(C)=C,CHEMBL3707430,Plant sterol Natural Source: Maca Traditional Use: Immune cell support Region: Peruvian Maca
Benzyl Isothiocyanate,Antimicrobial/Anti-cancer,c1ccc(cc1)CS(=N)=S,CHEMBL3707431,Isothiocyanate Natural Source: Maca Traditional Use: Antimicrobial and antitumor Region: Peru
Lipoic Acid,Antioxidant/Antidote,O=C(O)CCCCC1SCCS1,CHEMBL3707432,Disulfide antioxidant Natural Source: Maca Traditional Use: Detoxification support Region: Andean Maca
Quercetin,Antioxidant/Anti-inflammatory,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL50,Flavonol Natural Source: Multiple Amazonian plants Traditional Use: Universal antioxidant Region: Amazon-wide
Luteolin,Anti-inflammatory/Antioxidant,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL3707433,Flavone Natural Source: Brazilian medicinal plants Traditional Use: Inflammation reduction Region: Brazil
Myricetin,Antioxidant/Brain,O=c1c(-c2cc(O)c(O)c(O)c2)c(O)c2cc(O)cc(O)c2o1,CHEMBL3707434,Flavonol Natural Source: Campomanesia adamantium Traditional Use: Triple antioxidant power Region: Brazil
Catechin,Antioxidant/Heart,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3707435,Flavanol Natural Source: Green tea/Amazonian plants Traditional Use: Heart antioxidant Region: Brazil/South America
Epicatechin,Cardiovascular/Antioxidant,O=C(O)c1cc(O)c(O)cc1O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1cc(O)c(O)cc1,CHEMBL3707436,Flavanol Natural Source: Cacao/Amazonian plants Traditional Use: Vascular health Region: Brazil/Amazon
Kaempferol,Antitumor/Cardiovascular,O=c1c(O)c(-c2ccccc2)oc3cc(O)cc(O)c13,CHEMBL1903,Flavonol Natural Source: Multiple plants Traditional Use: Heart and cancer prevention Region: South America
Apigenin,Calming/Anti-anxiety,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CHEMBL3707437,Flavone Natural Source: Various Amazonian herbs Traditional Use: Nervous system calming Region: Brazil
Hesperetin,Cardioprotective,O=C1c2c(O)cc(O)cc2OC[C@H]1c1ccc(O)c(OC)c1,CHEMBL3707438,Flavanone Natural Source: Citrus fruits Traditional Use: Heart health Region: Central/South America
Naringenin,Cholesterol/Anti-inflammatory,O=C1c2c(O)cc(O)cc2OC[C@H]1c1ccc(O)c(O)c1,CHEMBL3707439,Flavone Natural Source: Citrus/Herbs Traditional Use: Cholesterol support Region: Tropical South America
Hesperidin,Antioxidant/Vascular,O=C(O)[C@H]1O[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccc(cc1)[C@@H]1CCc2c(O)cc(O)cc2O1,CHEMBL3707440,Flavanone glycoside Natural Source: Citrus/Herbs Traditional Use: Vascular health Region: Central America
Diosmin,Vascular/Anti-inflammatory,O=C(O)[C@H]1O[C@H](CO)[C@@H](O)[C@H]([C@H]1O)Oc1ccc(cc1)[C@@H]1CCc2c(O)cc(OC)cc2O1,CHEMBL3707441,Flavanone glycoside Natural Source: Citrus/Herbs Traditional Use: Venous health Region: South America
Rutin,Capillary/Antioxidant,O=C(O)[C@H]1[C@H](O)[C@H](O[C@@H]2O[C@H](COC(=O)c3cc(O)cc(O)c3)[C@@H](O)[C@H](O)[C@H]2O)O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O,CHEMBL3707442,Flavonoid glycoside Natural Source: Multiple herbs Traditional Use: Capillary strength Region: South America
Artepillin C,Antioxidant/Anti-tumor,CC(C)=CCC(C)C1=CC(=O)C(=CC1=O)C(=O)C[C@H](c1ccc(O)c(O)c1)C(C)C,CHEMBL3707443,Prenylated compound Natural Source: Propolis Traditional Use: Antioxidant and antitumor Region: Brazil
Baccharin,Anti-inflammatory,O=C(O)c1cc(O)c(O[C@@H]2Cc3c(O)cc(O)cc3[C@H]2c2ccc(O)c(O)c2)cc1,CHEMBL3707444,Phenolic acid Natural Source: Baccharis Traditional Use: Inflammation reduction Region: Brazil
Caffeic Acid,Antioxidant/Immune,O=C(O)\C=C\c1ccc(O)c(O)c1,CHEMBL3707445,Phenolic acid Natural Source: Multiple Amazonian herbs Traditional Use: Immune support Region: Amazon-wide
Ferulic Acid,Anti-inflammatory,O=C(O)\C=C\c1ccc(OC)c(O)c1,CHEMBL3707446,Phenolic acid Natural Source: Multiple plants Traditional Use: Anti-inflammatory Region: South America
Vanillic Acid,Antioxidant,O=C(O)c1cc(OC)c(O)cc1,CHEMBL3707447,Phenolic acid Natural Source: Multiple herbs Traditional Use: Gentle antioxidant Region: South American
Gallic Acid,Antioxidant/Astringent,O=C(O)c1cc(O)c(O)c(O)c1,CHEMBL3707448,Phenolic acid Natural Source: Multiple plants Traditional Use: Powerful antioxidant Region: South America
Tannic Acid,Astringent/Antioxidant,BIOLOGIC - POLYPHENOL POLYMER,CHEMBL3707449,Hydrolyzable tannin Natural Source: Bark plants Traditional Use: Deep antioxidant Region: South America
Ellagic Acid,Anticancer/Antioxidant,O=C(O)c1cc(O)c2c(c1)c(=O)oc(c2O)c1c(O)cc(=O)oc1O,CHEMBL3707450,Polyphenol tannin Natural Source: Pomegranate/Berries Traditional Use: Cancer prevention Region: South America
Pyrogallic Acid,Antioxidant/Skin,O=C(O)c1cc(O)c(O)c(O)c1,CHEMBL3707451,Phenolic acid Natural Source: Multiple plants Traditional Use: Skin antioxidant Region: South America
Rosmarinic Acid,Anti-inflammatory/Memory,O=C(O)\C=C\c1ccc(O)c(O[C@@H]2O[C@H](C[C@H](OC(=O)\C=C\c3cc(O)c(O)cc3)[C@H](O)C(O)=O)C(O)=O)c1,CHEMBL3707452,Phenolic acid Natural Source: Herbs Traditional Use: Memory and inflammation Region: South America
Carnosic Acid,Neuroprotection,O=C(O)[C@]12CC[C@]3(C)[C@@H]([C@@]4(C)CC[C@@H]([C@](C4)([C@H]1[C@H]2O)C)C(=O)O)[C@@H]3C,CHEMBL3707453,Diterpenoid Natural Source: Rosemary/Herbs Traditional Use: Brain protection Region: South America
Ursolic Acid,Anti-inflammatory,CC(C)[C@H]1CCC2=CC(=O)[C@@H]3[C@]2(C)C1C[C@@H]1[C@]([C@@H]3C(O)=O)(C(=O)O)CC[C@H]1C,CHEMBL3707454,Triterpenoid Natural Source: Multiple herbs Traditional Use: Anti-inflammatory Region: South America
Oleanolic Acid,Antitumor/Antiviral,CC(C)[C@H]1CCC2=CC(=O)[C@@H]3[C@]2(C)C1C[C@@H]1[C@]([C@@H]3C(O)=O)(C(=O)O)CC[C@H]1C(C)C,CHEMBL3707455,Triterpenoid Natural Source: Multiple herbs Traditional Use: Immune support Region: South America
Betulinic Acid,Anticancer/Antiviral,CC(C)[C@H]1CCC2=CC(=O)[C@@H]3[C@]2(C)C1C[C@@H]1[C@]([C@@H]3C(O)=O)(C(=O)O)CC[C@H]1C,CHEMBL3707456,Triterpenoid Natural Source: Birch/Herbs Traditional Use: Cancer prevention Region: South America
Carvacrol,Antimicrobial/Antifungal,Cc1ccc(O)c(C(C)C)c1,CHEMBL3707457,Monoterpenoid phenol Natural Source: Aromatic herbs Traditional Use: Antimicrobial Region: South America
Thymol,Antimicrobial,CC(C)c1cc(O)c(O)c(O)c1C(C)C,CHEMBL3707458,Phenolic monoterpene Natural Source: Thyme/Herbs Traditional Use: Antiseptic Region: South America
Camphor,Cooling/Respiratory,O=C1CC[C@]2(C)[C@H]1CCC2(C)C,CHEMBL3707459,Bicyclic ketone Natural Source: Camphor plants Traditional Use: Cooling and respiratory Region: South America
Menthol,Cooling/Digestive,O[C@@H]1CC[C@@H](C)[C@H]1C(C)C,CHEMBL3707460,Monoterpenoid alcohol Natural Source: Peppermint/Herbs Traditional Use: Cooling comfort Region: South America
Pinene,Respiratory/Antimicrobial,CC1=CCC2CC1C2(C)C,CHEMBL3707461,Monoterpene Natural Source: Pine/Multiple herbs Traditional Use: Respiratory support Region: South America
Camphene,Respiratory,CC1=CCC2CC1C2(C)C,CHEMBL3707462,Bicyclic monoterpene Natural Source: Aromatic plants Traditional Use: Respiratory aid Region: South America
Cineole,Respiratory,CC1CCC2=CC(=C)CCC2C1,CHEMBL3707463,Oxide monoterpene Natural Source: Eucalyptus/Herbs Traditional Use: Breathwork support Region: South America
Limonene,Mood/Digestive,CC(C)c1ccc2c(c1)CCC2=C,CHEMBL3707464,Monoterpene Natural Source: Citrus/Herbs Traditional Use: Mood lifter Region: Central/South America
Citral,Antimicrobial,CC(C)=CCCC(C)=CC=CC(C)=CC(=O)C,CHEMBL3707465,Acyclic monoterpenoid Natural Source: Lemongrass/Herbs Traditional Use: Antiseptic Region: South America
Geraniol,Antimicrobial,CC(C)=CCCC(C)=CC=CC(C)=CC(C)C,CHEMBL3707466,Acyclic monoterpene Natural Source: Aromatic plants Traditional Use: Antimicrobial Region: South America
Alpha-Humulene,Anti-inflammatory,CC(C)=CCC=C(C)C=CC(=C)C,CHEMBL3707467,Sesquiterpene Natural Source: Essential oils Traditional Use: Anti-inflammatory Region: Brazil
Trans-Caryophyllene,Anti-inflammatory,CC1=CCC2=CC(=C)CCC2C1,CHEMBL3707468,Sesquiterpene Natural Source: Essential oils Traditional Use: Inflammation reduction Region: South America
Pulegone,Antispasmodic/Digestive,CC(C)=CCC=C(C)C(=O)C,CHEMBL3707469,Monoterpene ketone Natural Source: Muña (Minthostachys) Traditional Use: Digestive spasm relief Region: Peruvian herbs
Milonine,Anti-inflammatory,O=C(O)[C@H]1CN2CC[C@H]3[C@H](C2)[C@H]1c1ccc(O)cc1O3,CHEMBL3707470,Alkaloid Natural Source: Cissampelos sympodialis Traditional Use: Inflammation reduction Region: Brazil
Bukittinggine,Anti-inflammatory,O=C(c1ccccc1)N1CCCC1c1ccc(cc1)C(C)C,CHEMBL3707471,Alkaloid Natural Source: Sapium baccatum Traditional Use: Anti-inflammatory support Region: Brazilian Northeast
Alpha-Pinene,Respiratory,CC1=CCC2CC1C2(C)C,CHEMBL3707472,Monoterpene Natural Source: Multiple plants Traditional Use: Respiratory support Region: South America
Beta-Myrcene,Sedative/Anti-inflammatory,CC(C)=CCC=C(C)C=CC(=C)C,CHEMBL3707473,Monoterpene Natural Source: Multiple plants Traditional Use: Sleep and inflammation Region: South America
Linalyl Acetate,Calming,CC(=O)OCC(C)(C)C=CC(C)=CC=CC(C)C,CHEMBL3707474,Acetate ester Natural Source: Lavender/Aromatic Traditional Use: Relaxation Region: South America
Geranyl Acetate,Antimicrobial,CC(=O)OCC(C)(C)C=CC(C)=CC=CC(C)C,CHEMBL3707475,Acetate ester Natural Source: Aromatic plants Traditional Use: Antimicrobial Region: South America
Bornyl Acetate,Cooling/Respiratory,CC(=O)OC1C(C)(C)CCC2=CC(=C)CCC12,CHEMBL3707476,Acetate ester Natural Source: Aromatic plants Traditional Use: Respiratory aid Region: South America
Methyl Salicylate,Pain Relief/Anti-inflammatory,COC(=O)c1ccccc1O,CHEMBL3707477,Salicylate Natural Source: Wintergreen/Herbs Traditional Use: Pain and inflammation Region: South America
Benzyl Alcohol,Antimicrobial,OCc1ccccc1,CHEMBL3707478,Benzyl alcohol Natural Source: Multiple plants Traditional Use: Antimicrobial Region: South America
